type	geo
solar	42.28575,24.63066
solar	42.66268,25.94494
solar	42.10704,25.58434
solar	42.15573,25.63136
solar	42.15494,25.63106
solar	42.15910,25.63307
solar	42.4754196,26.9111501
solar	42.59823,26.68034
biomass	42.84881,24.00486
solar	42.67241,23.52776
solar	42.36498,26.09325
solar	41.6480716,23.2298393
solar	42.70738,24.13391
solar	42.51351,24.18172
solar	42.51162,24.18571
solar	42.20308,24.32343
solar	43.44472,25.97991
solar	41.44008,23.50190
solar	41.46656,23.35337
solar	42.1309052,24.9394681
solar	42.45684,25.97882
solar	42.60520,25.53773
solar	42.49339,26.02026
solar	42.45705,25.97861
solar	41.63707,25.38410
solar	42.34852,25.97584
solar	42.6050996,24.8959646
solar	42.27872,27.15852
solar	42.23071,24.73404
solar	42.2026673,24.687504
solar	42.25625,26.62272
solar	43.75173,26.79022
hydro	41.86860,24.68507
solar	41.86860,24.68507
solar	42.59990,26.31903
solar	43.61392,26.23736
solar	42.18749,24.84332
solar	42.07105,24.74780
solar	42.24524,24.79807
solar	41.67745,24.71425
solar	42.22656,24.29629
solar	42.19363,24.73724
solar	42.63042,27.48890
solar	42.43422,25.65015
solar	42.63065,27.48847
solar	42.33900,27.19287
solar	41.97295,25.81830
solar	42.17714,24.85590
solar	42.17639,24.85579
solar	42.79560,27.52090
solar	42.57073,26.98660
solar	42.53557,26.55221
solar	42.06358,26.76805
solar	42.33830,25.76448
solar	42.45778,26.82496
solar	42.43847,25.60863
solar	42.43371,25.59861
solar	42.41347,25.60273
solar	41.47192,25.65996
solar	41.47148,25.65157
solar	42.27962,24.54852
solar	42.09522,24.88028
solar	42.22778,25.74748
solar	42.47371,26.54631
solar	42.65946,26.30968
solar	42.67880,26.36611
solar	42.3451878,27.1812505
solar	42.52784,26.39791
solar	41.45709,26.15559
solar	41.65149,24.63521
solar	42.55225,22.81705
solar	41.48861,23.30876
solar	42.44113,27.33364
solar	42.18057,24.87296
solar	43.14790,25.60835
solar	42.31901,24.61873
solar	42.44961,27.34428
solar	42.68798,26.30504
solar	42.51081,24.19552
solar	42.60458,27.19442
solar	42.60465,27.19322
solar	42.34890,24.88446
solar	42.35588,24.89287
solar	42.5616782,26.5268248
solar	42.02557,23.09592
solar	42.08163,25.39474
solar	42.23636,25.04766
solar	42.29437,25.20776
solar	42.30626,25.20976
solar	41.89296,23.10817
solar	42.3218301,25.8348095
solar	43.71869,26.82689
solar	43.61718,25.78010
solar	42.61602,25.38356
solar	42.47051,26.39761
solar	42.72519,26.90255
solar	42.09841,25.37112
solar	42.09911,25.38305
solar	43.54319,22.64758
solar	41.86412,26.13381
solar	42.37877,26.63600
solar	42.37966,26.63772
solar	43.77158,22.66110
solar	43.76315,22.65449
solar	41.64052,23.21072
solar	42.21834,27.67662
solar	43.50791,22.77929
solar	43.50847,22.77980
solar	42.25431,22.84778
solar	42.13756,25.05586
solar	43.04580,24.59014
solar	42.93719,24.74578
solar	42.14164,24.75571
solar	43.07728,27.11468
solar	42.00348,26.15484
solar	41.78571,25.61247
solar	43.38109,24.85416
solar	43.09759,24.07979
solar	41.94614,25.24692
biomass	41.60253,24.18396
solar	43.409112,23.9316578
solar	43.409112,23.9316578
solar	42.2108979,25.6882894
wind	42.69070,27.37767
solar	42.72721,26.66965
solar	42.20423,24.68799
solar	42.68924,26.02798
solar	43.409112,23.9316578
wind	43.66042,27.57534
wind	43.64924,27.58804
wind	43.64390,27.57740
solar	42.5872392,24.8647367
solar	42.5872392,24.8647367
solar	41.6518478,25.6464026
solar	41.65136,25.64105
solar	43.97743,26.40812
hydro	42.0426268,24.4669673
hydro	41.5465041,25.0734572
hydro	42.641321,24.8059394
hydro	42.6505802,25.0832464
hydro	42.2657174,23.5090269
hydro	42.4211437,23.9958465
hydro	42.6978388,23.3216697
hydro	42.6978388,23.3216697
hydro	43.1276158,25.1705997
hydro	42.8405033,24.9194861
hydro	41.5774233,24.7011138
hydro	42.8903751,24.7129702
hydro	43.2078347,24.1629941
hydro	41.672845,24.3500989
hydro	41.7429109,24.3915387
hydro	41.8466857,24.4257717
hydro	42.0426268,24.4669673
hydro	42.0426268,24.4669673
hydro	41.9441773,24.2189688
hydro	42.0298857,24.2987265
hydro	42.1451222,24.2888096
hydro	41.6338439,25.3777119
hydro	41.6072915,25.6395658
hydro	41.5266979,26.1242717
hydro	42.0426268,24.4669673
hydro	42.215738,23.9209416
hydro	42.215738,23.9209416
hydro	42.2283866,23.9751463
hydro	42.2750625,23.5380024
hydro	42.8742212,25.3186837
solar	42.13954,25.86662
solar	42.31673,25.08951
solar	42.34649,26.51395
solar	42.21640,24.78125
solar	42.21618,24.78099
solar	42.49855,26.54331
solar	42.27159,26.39885
solar	42.73087,26.67806
solar	42.21536,24.78288
solar	42.21539,24.78077
solar	42.21639,24.78058
solar	42.21674,24.78146
solar	42.21550,24.78137
solar	42.21516,24.78234
solar	42.16454,24.70893
solar	42.22268,24.73363
solar	42.82807,23.34637
solar	42.59974,25.54722
wind	43.45595,28.55666
solar	43.25298,26.58515
solar	42.53274,26.20307
solar	41.58498,25.13993
solar	43.02372,25.08564
solar	43.0266904,25.1034006
solar	43.0266904,25.1034006
solar	43.02008,25.10822
solar	41.52078,23.79934
solar	41.52213,23.80432
hydro	43.74595,22.58484
solar	42.42092,25.64346
hydro	42.08204,24.00753
hydro	42.07732,24.00804
solar	41.38054,25.08753
hydro	42.72866,27.60855
solar	43.23638,23.54936
solar	43.23294,23.57528
solar	42.24745,24.32115
solar	41.85038,26.06884
solar	42.49437,25.99828
solar	42.33044,26.31723
solar	43.58635,25.80173
solar	42.28902,24.97097
solar	42.28848,24.97115
solar	42.37845,26.63257
solar	42.3756589,26.6344396
solar	42.53638,25.57145
solar	42.05646,26.26045
solar	42.02911,26.19200
solar	42.02825,26.20325
solar	42.02659,26.20050
solar	42.07019,26.25423
solar	41.49122,25.31061
solar	42.11274,25.21945
solar	42.60098,26.48760
solar	42.50905,24.32716
solar	42.50222,24.31446
solar	43.995074,26.3643657
solar	42.68647,23.31161
solar	42.15169,24.49427
solar	42.15328,24.49350
solar	42.42599,25.64277
solar	42.08854,24.81811
solar	42.26794,27.71944
solar	43.35314,23.43521
solar	43.76911,26.29706
solar	42.2713378,24.9393091
solar	41.94840,25.39715
solar	42.62758,25.37695
solar	42.2362378,24.8237288
solar	41.72514,26.28157
solar	42.48312,26.47827
solar	41.78692,25.60638
hydro	41.69607,25.0021824
solar	42.1927654,24.3335662
solar	42.47291,27.09054
solar	42.7497885,27.5522084
solar	42.2713378,24.9393091
solar	42.274693,24.5465554
solar	41.3981081,23.2066849
solar	42.19565,24.31282
solar	42.19927,24.31282
solar	42.58029,27.30171
solar	42.58146,27.29999
solar	42.57953,27.30020
solar	42.52974,26.93281
solar	42.60634,26.69529
solar	42.34807,26.08334
solar	42.2713378,24.9393091
solar	41.8630081,23.1864143
solar	41.8896733,23.10602
solar	41.89553,23.10665
solar	42.82509,27.80500
solar	42.8239606,27.7986469
solar	42.8239606,27.7986469
solar	42.8239606,27.7986469
solar	42.10282,27.56602
solar	42.10127,27.56564
solar	41.79310,25.22970
solar	43.70301,26.04430
solar	43.29732,26.17664
solar	42.4576226,25.7061335
wind	43.33916,27.58340
solar	42.5944117,25.0918727
solar	41.5982017,23.7985704
solar	43.4458113,25.9750519
solar	43.4458113,25.9750519
solar	43.4458113,25.9750519
solar	43.4458113,25.9750519
solar	43.4458113,25.9750519
solar	42.94037,25.37681
solar	43.20423,25.55758
solar	43.726433,27.9187305
solar	41.3981081,23.2066849
solar	41.3981081,23.2066849
solar	41.3981081,23.2066849
solar	43.5742857,27.2276989
solar	43.5742857,27.2276989
solar	43.5742857,27.2276989
solar	41.8424074,25.9109691
solar	43.8428868,27.5406896
solar	43.1638849,27.2656141
solar	43.0752801,25.7431083
solar	41.6338439,25.3777119
solar	42.2713378,24.9393091
solar	41.8424074,25.9109691
hydro	42.215738,23.9209416
solar	42.6308913,24.6567618
solar	42.3532692,25.832632
solar	42.5101082,25.6725283
solar	42.0911085,25.8659385
solar	41.9445878,25.3977157
solar	42.4495518,25.4947651
solar	41.9445878,25.3977157
solar	42.2110055,24.3783297
solar	43.2480,26.5417
solar	43.2305864,25.9670153
solar	43.2305864,25.9670153
solar	43.7432354,27.935646
solar	42.3017186,23.2927705
solar	42.3837073,27.6672124
solar	42.4470906,26.5333813
solar	42.127398,25.4397067
solar	43.8570664,26.2541251
solar	41.8260513,26.3645659
solar	43.2493556,26.5727357
solar	41.6518478,25.6464026
solar	41.6518478,25.6464026
solar	41.6518478,25.6464026
solar	43.9905715,26.5414826
solar	42.417167,25.8015305
solar	42.1496343,24.4149143
hydro	43.6024355,23.6586786
solar	43.6638224,27.001013
solar	42.57388,25.4401
solar	42.6194408,25.3929576
biomass	42.4105415,26.541183
solar	42.0133722,24.8784393
solar	43.2367773,26.1206629
hydro	42.4257769,25.6344644
solar	41.7847843,25.3617866
solar	41.6769771,24.7124769
solar	41.9304124,25.9025865
solar	42.47192,26.67499
solar	43.20264,25.5618
solar	43.60572,25.9785
solar	43.60616,25.9815
solar	41.9270,26.1574
solar	42.2414,27.7643
